bebida,custobebida
ABACAXI C TONICA,7
ABSOLUT DS,4
AGUA DE COCO COPO,3
AGUA DE COCO JARRA,8
AGUA MINERAL COM GAS,3
AGUA MINERAL SEM GAS,3
AGUA TONICA,3
AMARULA DS,7
APEROL SPRIT,8
BAILEYS DS,8
BLACK WHITE DS,3
BRAMBLE,4
BULLDOG DS,10
CACHACA VOLUPIA ENVELHECIDA DO,6
CAF? EXPRESSO,2
CAIPIFRUTA SEM ALCOOL,3
CAIPIRINHA,5
CAMPARI DS,2
CAPUCCINO,2
CEREMONY RUBY CAL 100ML DS,13
CERVEJA HEINEKEN 330ML,6
CERVEJA HEINEKEN SEM ALCOOL,6
CERVEJA STELLA ARTOIS 275ML,4
CERVEJA STELLA ARTOIS LONGNECK,5
CHA VERDE BULE,0
CHIVAS DS,3
CIROC,191
COCA COLA,3
COCA COLA ZERO,3
COINTREAU DS,1
DOWS 10 ANOS CALICE 100ML DS,0
DRY MARTINI,5
EMBALAGEM,1
ESP 1913 BRUT,59
ESP CODORNIU CLAS CA BRUT ROSA,69
ESP CODORNIU CLASSICO CAVA BRUT,69
ESP FREIXENET ICE ROS,66
FRANGELICO DS,11
G E T HIBISCO,5
GIN PITAYA,5
GIN TONICA,4
GRAPE GIN,5
GREY GOOSE,192
GREY GOOSE DS,10
GUARANA,2
GUARANA ZERO,2
H2O LIMONETO,3
IPPON DRINK,10
IPPON GIN BLUSH LIMAO SICILIAN,6
IPPON GIN BLUSH MACA VERDE,8
IPPON SHOT,1
JACK DANIELS TENNESSEE WHISKY,6
JAMESON IRISH WHISKY DS,4
JOHNNIE WALKER BLACK LABEL,188
JOHNNIE WALKER BLACK LABEL DS,9
JOHNNIE WALKER DOUBLE BLACK DS,10
JOHNNIE WALKER DOUBLE BLACK,209
JOHNNIE WALKER GOLD RESER,358
JOHNNIE WALKER GOLD RESER DS,18
JOHNNIE WALKER RED LABEL DS,5
LICOR 43 DS,10
LIMONADA SUICA COPO 300ML,6
LIMONADA SUICA JARRA,13
LIMONCELLO DS,1
MARACUJA TONICA,5
MARGARITA,5
MARTINI BIANCO,2
MELANCITA,11
MOJITO,4
MOSCOW MULE,2
NEGRONI,6
NIGHT BLUE,4
OLD PARR DS,7
OLD PARR GF,160
PEACHTREE DS,10
PINA COLADA,4
RED BULL,7
RON BACARDI CARTA BRANCA DS,2
RON HAVANA 3 YEARS DS,5
SAKE IMPORTADO NO CALICE,11
SAKE NACIONAL,39
SAKE NACIONAL NO MASSAU,5
SAMBUCA DS,11
SAQUE NACIONAL E FRUTA DA EST,3
SAQUE NACIONAL E LIMAO,3
SMIRNOFF DS,2
SODA ITALIANA,3
SOL FA SOUL BRUT ROSE,65
SUCO COPO DE ABACAXI,1
SUCO COPO DE KIWI,5
SUCO COPO DE LARANJA,2
SUCO COPO DE LIMAO,1
SUCO COPO DE MORANGO,7
SUCO COPO DE UVA,2
SUCO JARRA ABACAXI,3
SUCO JARRA KIWI,20
SUCO JARRA LARANJA,7
SUCO JARRA LIMAO,5
SUCO JARRA MORANGO,6
SUCO JARRA UVA,5
TANQUERAY,153
TANQUERAY DS,8
TAXA ROLHA,0
TEQUILA DS,5
TROPICAL GIN,3
VB ALTO MADERO RESERVA 375ML,40
VB ANDICA GEWURZTRAMINER,68
VB CALLIA TORRONTES,49
VB CARTUXA,161
VB CHABLIS,348
VB CHIANT RUFFINO 375ML,68
VB EA BRANCO ALENTEJO,63
VB FESTIVO TORRONTES,95
VB FREIXENET PINOT GRIGIO DOC,65
VB MALACARA CHARDONNAY,81
VB MONTE VELHO BRANCO ALENTEJO,58
VB SUZANA BALBO TRA CHARDONN,102
VB TARAP RES CHARDONNAY,0
VB VENTISQUEIRO CLASSICO CHARD,45
VB VENTISQUEIRO RES SAUV BLANC,60
VODKA ABSOLUT E FRUTA DA ESTACAO,5
VODKA ABSOLUT E LIMAO,5
VODKA CIROC E FRUTA DA ESTACAO,10
VODKA GREY GOOSE E FRUTA DA ESTACAO,9
VODKA SMIRNOFF E FRUTA DA ESTACAO,2
VODKA SMIRNOFF E LIMAO,2
VR CASAS DEL MAIPO ROSE,54
"VR FESTIVO ROSE ",78
VR GIACONDI ROSE,40
VR LOVE PINK 375ML,59
VT ALTA VISTA VIVE CAB SAUV,64
VT ANDELUENA RAICES MALBEC 750ML,65
VT BARON PHILIPPE RESERVA MERL,39
VT BRUNELLO DI MONTALCINO DOCG,695
VT CARTUXA COLHEITA,251
VT CASAS DEL MAIPO RESERVA CAB,79
VT CASAS DEL MAIPO RESERVA CAR,68
VT CASTILLO MONTEARAGON GRAN RSV,102
VT CASTILLO MONTEARAGON BARRI,56
VT CHATEAU HAUT GANTELAIS  750ML,100
VT CHIANTI SARDELLI DOCG,60
VT CHIANT RUFFINO 375ML,65
VT CIAO BELLA PINOT NOIR,64
VT CORDILLERA ANDINA 375ML,35
VT CORDILLERA ANDINA SAUV BLAN,48
VT CRITERA PRIMITIVO,65
VT DV CATENA CAB SAUVIGNON MAL,183
VT EA ALENTEJO,63
VT INFINITUM PRIMITIVO PUGLIA,83
VT JULIA FLORISTA,60
VT LA VACHE 750ML,60
VT LAS PERDICES MALBEC 750ML,60
VT LE PETIT COCHONNET PINOT NOIR,60
VT LIDIO CARRARO DADIVA MERLO,90
VT LOCO DE PIEDRA RESERVA CABE,46
VT MARAY GRAN RESERVA  SYRAH,105
VT P LAURE ELEIC ENLOG,49
VT PENTEO PRIMITIVO DE MANDUR,158
